time,flare_class,xrsb_irrad,active_region
2014-10-26 06:21:00,M1.3,1.37e-05,2192.0
2014-10-26 10:18:00,M1.0,1.073e-05,
2014-10-26 10:56:00,X2.8,0.000288,2192.0
2014-10-26 13:09:00,M1.3,1.321e-05,2192.0
2014-10-26 17:17:00,M1.4,1.466e-05,
2014-10-26 17:59:00,M1.1,1.117e-05,
2014-10-26 18:15:00,M6.0,6.051e-05,
2014-10-26 18:49:00,M2.7,2.753e-05,
2014-10-26 20:21:00,M3.5,3.532e-05,
2014-10-26 21:59:00,M1.1,1.194e-05,
2014-10-26 23:36:00,M1.1,1.187e-05,
2014-10-27 00:26:00,M9.9,9.979e-05,
2014-10-27 00:34:00,X1.0,0.0001027,2192.0
2014-10-27 02:02:00,M1.5,1.549e-05,
2014-10-27 02:34:00,M1.0,1.063e-05,
2014-10-27 03:41:00,M1.8,1.864e-05,
2014-10-27 07:01:00,M1.3,1.38e-05,
2014-10-27 07:15:00,M1.3,1.375e-05,
2014-10-27 09:07:00,M1.5,1.524e-05,
2014-10-27 09:41:00,M3.1,3.148e-05,
2014-10-27 14:47:00,X2.9,0.0002965,2192.0
2014-10-27 17:02:00,M1.0,1.093e-05,
2014-10-27 17:40:00,M2.0,2.069e-05,
2014-10-28 02:42:00,M5.0,5.005e-05,2192.0
2014-10-28 03:32:00,M9.4,9.483e-05,
2014-10-28 14:06:00,M2.2,2.291e-05,2192.0
2014-10-29 03:44:00,M1.1,1.16e-05,
2014-10-29 06:18:00,M1.0,1.053e-05,
2014-10-29 08:20:00,M1.4,1.451e-05,
2014-10-29 10:01:00,M1.7,1.783e-05,
2014-10-29 14:21:00,M1.1,1.133e-05,
2014-10-29 14:33:00,M2.1,2.128e-05,2192.0
2014-10-29 16:13:00,M1.2,1.259e-05,
2014-10-29 16:20:00,M1.4,1.467e-05,
2014-10-29 18:50:00,M1.8,1.891e-05,
2014-10-29 21:22:00,M3.3,3.36e-05,
2014-10-30 00:06:00,M1.0,1.006e-05,
2014-10-30 00:37:00,M1.9,1.941e-05,
2014-10-30 01:35:00,M5.1,5.109e-05,
2014-10-30 04:28:00,M1.7,1.797e-05,2192.0
2014-10-30 15:31:00,M1.3,1.365e-05,
2014-10-30 15:42:00,M1.4,1.401e-05,
2014-10-31 01:01:00,M1.1,1.174e-05,
2014-11-01 16:46:00,M1.0,1.041e-05,
2014-11-02 21:05:00,M1.3,1.357e-05,
2014-11-03 11:53:00,M3.1,3.192e-05,
2014-11-03 22:40:00,M9.4,9.406e-05,
2014-11-04 08:38:00,M3.8,3.823e-05,2205.0
2014-11-05 09:47:00,X1.1,0.0001141,2205.0
2014-11-05 19:44:00,M4.2,4.283e-05,2205.0
2014-11-06 01:39:00,M4.6,4.607e-05,2205.0
2014-11-06 03:46:00,M7.8,7.846e-05,2205.0
2014-11-06 22:16:00,M3.6,3.67e-05,2205.0
2014-11-07 02:49:00,M3.8,3.894e-05,2205.0
2014-11-07 04:25:00,M2.9,2.907e-05,
2014-11-07 10:22:00,M1.4,1.431e-05,2205.0
2014-11-07 16:39:00,M1.0,1.006e-05,
2014-11-07 17:25:00,X2.3,0.0002301,
2014-11-09 15:32:00,M3.3,3.384e-05,2205.0
2014-11-10 02:22:00,M1.1,1.105e-05,2205.0
2014-11-15 12:03:00,M4.7,4.725e-05,2209.0
2014-11-15 20:46:00,M5.4,5.412e-05,2209.0
2014-11-16 17:48:00,M8.2,8.222e-05,
2014-11-20 06:41:00,M1.0,1.089e-05,
2014-11-22 01:01:00,M1.1,1.165e-05,2209.0
2014-11-27 00:47:00,M1.1,1.176e-05,2222.0
2014-11-28 00:40:00,M1.0,1.077e-05,2222.0
2014-12-01 06:41:00,M2.6,2.624e-05,2222.0
2014-12-04 08:10:00,M1.8,1.871e-05,2222.0
2014-12-04 18:25:00,M8.8,8.829e-05,
2014-12-04 19:41:00,M1.9,1.974e-05,
2014-12-05 12:25:00,M2.2,2.217e-05,
2014-12-09 08:29:00,M1.1,1.16e-05,2230.0
2014-12-09 10:24:00,M1.2,1.235e-05,2230.0
2014-12-13 05:19:00,M2.6,2.626e-05,
2014-12-14 04:33:00,M1.2,1.229e-05,2241.0
2014-12-14 08:33:00,M1.2,1.222e-05,2242.0
2014-12-14 19:33:00,M2.2,2.288e-05,2242.0
2014-12-15 01:40:00,M1.0,1e-05,2242.0
2014-12-17 01:10:00,M2.1,2.155e-05,2242.0
2014-12-17 01:50:00,M1.6,1.612e-05,2241.0
2014-12-17 04:51:00,X1.2,0.0001255,2242.0
2014-12-17 15:01:00,M1.4,1.418e-05,
2014-12-17 19:01:00,M2.1,2.113e-05,2241.0
2014-12-17 19:30:00,M1.2,1.236e-05,
2014-12-17 21:26:00,M1.1,1.13e-05,
2014-12-18 12:52:00,M1.0,1.03e-05,2242.0
2014-12-18 16:51:00,M1.0,1.045e-05,
2014-12-18 19:43:00,M1.1,1.137e-05,
2014-12-18 21:57:00,M9.9,9.933e-05,2241.0
2014-12-19 09:44:00,M1.9,1.903e-05,2242.0
2014-12-20 00:27:00,X2.6,0.0002697,2242.0
2014-12-21 07:32:00,M1.7,1.794e-05,2242.0
2014-12-21 11:48:00,M1.3,1.38e-05,
2014-12-21 12:17:00,M1.5,1.524e-05,
2014-12-22 01:49:00,M1.4,1.455e-05,2242.0
2014-12-22 04:54:00,M1.2,1.251e-05,2242.0
2014-12-22 11:07:00,M1.0,1.003e-05,
2014-12-27 02:16:00,M3.2,3.282e-05,2249.0
